--- Distribuição da Posição-sujeito na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Posição-sujeito / Autor,Quantidade,Porcentagem (%)
0,0,1.1.5 - Comentarista,64,50.0
1,0_a1,Carlos Alberto Di Franco,52,40.62
2,0_a2,Míriam Leitão,4,3.12
3,0_a3,José Henrique Mariante,3,2.34
4,0_a4,FB,3,2.34
5,0_a5,Cristina Tardáguila,1,0.78
6,0_a6,Fabiana Moraes,1,0.78
7,1,1.1.1 - Participante,12,9.38
8,1_a1,Carlos Alberto Di Franco,7,5.47
9,1_a2,Natália Viana,3,2.34
10,1_a3,Cristina Tardáguila,1,0.78
11,1_a4,Fabiana Moraes,1,0.78
12,2,1.1.2 - Testemunha,1,0.78
13,2_a1,Carlos Alberto Di Franco,1,0.78
14,3,1.1.4 - Especialista,8,6.25
15,3_a1,Carlos Alberto Di Franco,4,3.12
16,3_a2,Cristina Tardáguila,1,0.78
17,3_a3,Eugênio Bucci,1,0.78
18,3_a4,Fabiana Moraes,1,0.78
19,3_a5,José Henrique Mariante,1,0.78
20,4,1.1.3 - Observador,43,33.59
21,4_a1,Cristina Tardáguila,9,7.03
22,4_a2,Míriam Leitão,9,7.03
23,4_a3,José Henrique Mariante,6,4.69
24,4_a4,Flávia Lima,5,3.91
25,4_a5,Carlos Alberto Di Franco,4,3.12
26,4_a6,Fabiana Moraes,4,3.12
27,4_a7,Januária Cristina Alves,3,2.34
28,4_a8,Natália Viana,2,1.56
29,4_a9,FB,1,0.78




---

Distribuição do Papel Enunciativo na Categoria: 'CATEGORIA 1 — VERDADE COMO FUNDAMENTO IDENTITÁRIO, NORMATIVO E EPISTÊMICO DA PROFISSÃO' ---
Total de textos únicos analisados: 128

index,Index,Papel Enunciativo / Autor,Quantidade,Porcentagem (%)
0,0,1.2.1 Observador-Intérprete (ou Analista),63,49.22
1,0_a1,Carlos Alberto Di Franco,29,22.66
2,0_a2,Míriam Leitão,11,8.59
3,0_a3,Cristina Tardáguila,6,4.69
4,0_a4,Fabiana Moraes,4,3.12
5,0_a5,José Henrique Mariante,4,3.12
6,0_a6,FB,3,2.34
7,0_a7,Januária Cristina Alves,3,2.34
8,0_a8,Eugênio Bucci,1,0.78
9,0_a9,Flávia Lima,1,0.78
10,0_a10,Natália Viana,1,0.78
11,1,1.2.3 Crítico-Monitor (ou Cão de Guarda),52,40.62
12,1_a1,Carlos Alberto Di Franco,29,22.66
